"route_id","schedule_date","car_type","route_distance_km","route_minutes","total_orders"
"568150","2019-07-01 08:00:00","Particular","35.717","228.73","25"
"568160","2019-07-01 08:00:00","Fiorino","158.469","619.95","37"
"568170","2019-07-01 08:00:00","Fiorino S.C.","64.677","358.28","35"
"568180","2019-07-01 08:00:00","Particular","52.992","258.45","20"
"568190","2019-07-01 08:00:00","Particular","69.774","453.85","47"
"568200","2019-07-01 08:00:00","Particular","61.157","251.88","21"
"568210","2019-07-01 08:00:00","Particular","86.147","475.62","46"
"568220","2019-07-01 08:00:00","Fiorino Sr","79.083","289.4","18"
"568230","2019-07-01 08:00:00","Particular","69.825","469.87","48"
"568240","2019-07-01 08:00:00","Particular","55.486","317.77","27"
"568250","2019-07-01 08:00:00","Particular","117.856","483.47","36"
"568260","2019-07-01 08:00:00","Particular","110.388","489.5","36"
"568270","2019-07-01 08:00:00","Particular","141.201","532.12","43"
"568280","2019-07-01 08:00:00","Particular","44.113","259.55","25"
"568290","2019-07-01 08:00:00","Particular","126.833","701.03","64"
"568300","2019-07-01 08:00:00","Particular","66.797","410.82","46"
"568310","2019-07-01 08:00:00","Particular","88.016","456.63","39"
"568320","2019-07-01 08:00:00","Particular","54.286","318.27","36"
"568330","2019-07-01 08:00:00","Fiorino Sr","39.010","241.32","30"
"568340","2019-07-01 13:00:00","Moto","64.932","146.58","7"
"568350","2019-07-01 13:00:00","Moto","52.248","134.66","10"
"568360","2019-07-01 13:00:00","Moto","102.660","221.88","12"
"568370","2019-07-01 13:00:00","Moto","24.375","92.5","10"
"568380","2019-07-01 13:00:00","Moto","71.221","159.96","8"
"568390","2019-07-01 13:00:00","Moto","39.626","92.83","6"
"568400","2019-07-01 15:45:00","Moto","31.744","97.33","7"
"568410","2019-07-01 15:45:00","Moto","58.389","142.85","9"
"568420","2019-07-01 15:45:00","Moto","57.663","136.88","8"
"568430","2019-07-01 15:45:00","Particular","34.683","145.87","10"
"568450","2019-07-01 15:45:00","Moto","37.758","95.34","5"
"568460","2019-07-01 15:45:00","Moto","204.251","340.48","6"
"568470","2019-07-01 15:45:00","Moto","41.291","81.05","4"
"568480","2019-07-01 15:45:00","Moto","34.554","61.07","4"
"568490","2019-07-01 15:45:00","Moto","68.064","131.75","5"
"568500","2019-07-01 15:45:00","Moto","56.522","115.36","5"
"568510","2019-07-01 15:45:00","Moto","50.164","106.89","5"
"568520","2019-07-01 15:45:00","Moto","47.377","118.17","10"
"568530","2019-07-01 15:45:00","Moto","67.847","165.46","9"
"568540","2019-07-01 15:45:00","Moto","63.709","193.27","5"
"568550","2019-07-01 15:45:00","Moto","108.183","224.24","10"
"568560","2019-07-01 15:45:00","Moto","50.706","122.61","9"
"568570","2019-07-01 15:45:00","Moto","71.594","170.46","7"
"568580","2019-07-01 15:45:00","Moto","25.854","94.47","9"
"568590","2019-07-01 15:45:00","Moto","70.243","168.66","10"
"568600","2019-07-01 15:45:00","Moto","89.981","280.73","3"
"568610","2019-07-01 15:45:00","Moto","83.750","166.67","6"
"568620","2019-07-01 15:45:00","Moto","56.954","110.94","5"
"568650","2019-07-01 09:00:00","Moto","25.695","39.26","1"
